SET,NAME,FACTION,TEXT,RARITY,ATTACK,COST,HEALTH,RACE,INPLAYTEXT,TYPE,ID,MECHANICS,COLLECTIBLE,ELITE,ARTIST,HOWTOGETGOLD,FLAVOR
"Promotion","修理机器人","Alliance","在你的回合结束时，为一个受伤的角色恢复6点生命值。","Common",0,1,3,"Mech","","Minion","Mekka2",,,,,,
"Promotion","变形",,"被变形为小鸡。",,,,,,,"Enchantment","Mekka4e",Morph,,,,,
"Promotion","变鸡器","Alliance","在你的回合开始时，随机将另一个随从变为1/1的小鸡。","Common",0,1,3,"Mech","","Minion","Mekka4",,,,,,
"Promotion","壮胆！",,"属性值提高。",,,,,,,"Enchantment","Mekka3e",,,,,,
"Promotion","壮胆机器人3000型","Alliance","在你的回合结束时，使一个随机随从获得+1/+1。","Common",0,1,4,"Mech","","Minion","Mekka3",,,,,,
"Promotion","导航小鸡","Alliance","在你的回合开始时，消灭该随从，并抽三张牌。","Common",0,1,1,"Mech","","Minion","Mekka1",,,,,,
"Promotion","小鸡",,"<i>小鸡快跑！</i>",,1,0,1,"Beast",,"Minion","Mekka4t",,,,,,
"Promotion","我是鱼人",,"召唤三只、四只或者五只1/1的鱼人。",,,4,,,,"Spell","PRO_001a",,,,,,
"Promotion","格尔宾·梅卡托克","Alliance","<b>战吼：</b>进行一次惊人的发明。","Legendary",6,6,6,,,"Minion","EX1_112",Battlecry,True,True,"Ludo Lullabi","所有在测试阶段参与测试牌店功能的玩家都能获得此项奖励。","他是侏儒的领袖，无与伦比的发明家。而且他变得越来越像个领袖了；相比他只是个发明家的时候，他已经不那么经常把人变成小鸡了。"
"Promotion","潜行者的伎俩",,"造成$4点伤害。抽一张牌。",,,4,,,,"Spell","PRO_001b",,,,,,
"Promotion","精英牛头人酋长",,"<b>战吼：</b>让两位玩家都具有摇滚的能力！（双方各获得一张强力和弦牌）","Legendary",5,5,5,,,"Minion","PRO_001",Battlecry,True,True,"Samwise Didier","2013年暴雪嘉年华参与奖励。","他正在物色一名鼓手。目前的候选人包括：工程师学徒，森金持盾卫士，还有炎魔之王拉格纳罗斯。"
"Promotion","部落的力量",,"随机召唤一名部落勇士。",,,4,,,,"Spell","PRO_001c",,,,,,
"Promotion","鱼人",,,,1,1,1,"Murloc",,"Minion","PRO_001at",,,,,,
