SET,NAME,HEALTH,TYPE,ID,PLAYERCLASS,MECHANICS,COLLECTIBLE,ARTIST,TEXT,RARITY,ATTACK,COST,HOWTOGETGOLD,FLAVOR,HOWTOGET,ELITE,DURABILITY,RACE
Curse of Naxxramas,『不潔者』海根,45,Hero,NAX5_01H,Warlock,,,,,,,,,,,,,
Curse of Naxxramas,『不潔者』海根,30,Hero,NAX5_01,Warlock,,,,,,,,,,,,,
Curse of Naxxramas,『收割者』高希,30,Hero,NAX8_01,,,,,,,,,,,,,,
Curse of Naxxramas,『收割者』高希,45,Hero,NAX8_01H,,,,,,,,,,,,,,
Curse of Naxxramas,『瘟疫使者』諾斯,30,Hero,NAX4_01,Mage,,,,,,,,,,,,,
Curse of Naxxramas,『瘟疫使者』諾斯,45,Hero,NAX4_01H,Mage,,,,,,,,,,,,,
Curse of Naxxramas,不穩定的食屍鬼,3,Minion,FP1_024,,Deathrattle|Taunt,True,Mike Nicholson,<b>嘲諷</b>。<b>死亡之聲:</b>對全部手下造成1點傷害,Common,1,2,在瘟疫區中擊敗『不潔者』海根即可合成。,死靈法師的學校喜歡教新手用火箭燃料餵食他們的食屍鬼。,在瘟疫區擊敗『不潔者』海根後解鎖。,,,
Curse of Naxxramas,亡域光環,,Enchantment,FP1_030e,,,,,你的法術本回合額外消耗(5)點法力。,,,,,,,,,
Curse of Naxxramas,亡域光環,,Hero Power,NAX6_02,,,,,<b>英雄能力</b>對敵方英雄造成3點傷害,,,2,,,,,,
Curse of Naxxramas,亡域光環,,Hero Power,NAX6_02H,,,,,<b>英雄能力</b>對敵方英雄造成3點傷害,,,0,,,,,,
Curse of Naxxramas,亡域毒,,Spell,NAX3_03,,,,,摧毀一個手下,,,2,,,,,,
Curse of Naxxramas,伏晨,7,Minion,NAX13_04H,,,,,,Legendary,4,5,,,,True,,
Curse of Naxxramas,伏晨,7,Minion,FP1_015,,Deathrattle,True,Dany Orizio,<b>死亡之聲:</b>如果斯塔拉格在這場賽局中也已經死亡，召喚泰迪斯,Legendary,4,5,完成傀儡區即可合成。,伏晨心情一直不太好，因為大家都比較喜歡斯塔拉格。,完成傀儡區後解鎖。,True,,
Curse of Naxxramas,信奉者,4,Minion,NAX2_05,,Aura,,,你的英雄在你的回合時擁有+1攻擊力,,1,3,,,,,,
Curse of Naxxramas,信奉者,4,Minion,NAX2_05H,,Aura,,,你的英雄在你的回合時擁有+3攻擊力。,,2,3,,,,,,
Curse of Naxxramas,兩極移形,,Hero Power,NAX13_02,,,,,<b>英雄能力</b>對調全部手下的攻擊力及生命值,,,0,,,,,,
Curse of Naxxramas,冰息術,,Hero Power,NAX14_02,,,,,<b>英雄能力</b>摧毀全部沒有被<b>凍結</b>的敵方手下,,,0,,,,,,
Curse of Naxxramas,冰霜衝擊,,Hero Power,NAX15_02,,Freeze,,,<b>英雄能力</b>對敵方英雄造成2點傷害並使其<b>凍結</b>,,,0,,,,,,
Curse of Naxxramas,冰霜衝擊,,Hero Power,NAX15_02H,,Freeze,,,<b>英雄能力</b>對敵方英雄造成3點傷害並使其<b>凍結</b>,,,0,,,,,,
Curse of Naxxramas,劇毒種子,,Spell,FP1_019,Druid,,True,Brian Despain,摧毀全部手下並召喚2/2的樹人來取代它們,Common,,4,在納克薩瑪斯中完成德魯伊職業挑戰即可合成。,劇毒種子風味的麵包通常乏人問津。,在納克薩瑪斯中完成德魯伊職業挑戰後解鎖。,,,
Curse of Naxxramas,古魯斯,45,Hero,NAX12_01H,,,,,,,,,,,,,,
