MECHANICS,SET,NAME,ARTIST,ELITE,TEXT,RARITY,ATTACK,COST,HEALTH,RACE,TYPE,ID,COLLECTIBLE,FLAVOR,PLAYERCLASS,DURABILITY
Charge,Goblins vs Gnomes,V-07-TR-0N,Chris Seaman,True,<b>衝鋒</b><b>超級風怒</b> (每回合可攻擊4次),Legendary,4,8,8,Mech,Minion,GVG_111t,,,,
,Goblins vs Gnomes,不穩定的傳送門,Sean O&sbquo;Daniels,,放一張隨機手下到你的手牌中。它的消耗減少(3)點,Rare,,2,,,Spell,GVG_003,True,艾澤拉斯的居民完全不知道要穩定傳送門得花上多少功夫。傳送門的維護費用佔了我們百分之三十的GDP。,Mage,
,Goblins vs Gnomes,伯瓦爾·弗塔根,Tooth,True,若這張牌在你手牌中，每當友方手下死掉時，便獲得+1攻擊力,Legendary,1,5,7,,Minion,GVG_063,True,劇透:伯瓦爾後來被火烤了一頓，然後坐在一個寒冰的王座上，接著就被所有人遺忘了。,Paladin,
,Goblins vs Gnomes,來，給你加一個。,,,+2/+2,,,,,,Enchantment,GVG_104a,,,,
,Goblins vs Gnomes,修理!,,,+4生命值,,,,,,Enchantment,GVG_069a,,,Priest,
,Goblins vs Gnomes,假死,Luca Zontini,,觸發你所有手下的<b>死亡之聲</b>,Epic,,2,,,Spell,GVG_026,True,假死要裝得像，最難的就是連味道都要聞起來像是真的死掉一樣。千萬不要在家練習這個。,Hunter,
,Goblins vs Gnomes,先祖之喚,Dan Scott,,從雙方玩家的手牌中各挑選一個隨機手下並放到戰場,Epic,,4,,,Spell,GVG_029,True,「哈囉先祖!你們好啊!」,Shaman,
,Goblins vs Gnomes,光明引路者,Jim Nelson,,若在你的回合結束時你控制著<b>秘密</b>，為你的英雄恢復4點生命值,Rare,2,3,4,,Minion,GVG_089,True,他們不是喊「路摸思」啦。你以為這裡是霍格華茲學院?,,
ImmuneToSpellpower,Goblins vs Gnomes,光明聖印,Jason Chan,,為你的英雄恢復#4點生命值，並在本回合內賦予+2攻擊力,Common,,2,,,Spell,GVG_057,True,有時候你不禁會猜想，如果有黑暗聖印，效果會是怎樣?,Paladin,
OneTurnEffect,Goblins vs Gnomes,光明聖印,,,本回合+2攻擊力,,,,,,Enchantment,GVG_057a,,,,
