SET,NAME,HEALTH,TYPE,ID,PLAYERCLASS,DURABILITY,RARITY,ATTACK,COST,TEXT,FACTION,MECHANICS,INPLAYTEXT
Missions,伊利丹·怒風,30,Hero,TU4e_001,Hunter,,,,,,,,
Missions,博學行者阿洲,25,Hero,TU4f_001,,,,,,,,,
Missions,埃辛諾斯戰刃,,Weapon,TU4e_004,,2,Common,2,2,,,,
Missions,埃辛諾斯火焰,,Hero Power,TU4e_002,,,,,2,<b>英雄能力</b>召喚兩個2/1手下,,,
Missions,埃辛諾斯火焰,1,Minion,TU4e_002t,,,Common,2,1,,,,
Missions,巨大的豺狼人,2,Minion,TU4a_005,,,Common,5,4,,,,
Missions,影潘武僧,2,Minion,TU4f_003,,,Common,2,2,,,,
Missions,御傳心法,,Spell,TU4f_004,,,Common,,3,賦予你的手下+2/+2。<i>(+2攻擊力/+2生命值)</i>,,,
Missions,御傳心法,,Enchantment,TU4f_004o,,,,,,擁有+2/+2。<i>(+2攻擊力/+2生命值)</i>,,,
Missions,擲桶,,Spell,TU4c_002,,,Common,,1,造成2點傷害,Neutral,,
Missions,桶子,2,Minion,TU4c_003,,,Common,,0,這個桶子裡面有東西嗎?,Neutral,Deathrattle,
Missions,河爪豺狼人,1,Minion,TU4a_002,,,Common,2,1,,,,
Missions,烈焰爆擊,,Spell,TU4e_005,,,Common,,3,發射5顆飛彈攻擊隨機敵人，每一顆造成$1點傷害,,,
Missions,熊貓人斥候,1,Minion,TU4f_002,,,Common,1,1,,,,
Missions,狂獵人,1,Minion,TU4d_002,,,Common,1,1,,,,
Missions,獵槍衝擊,,Hero Power,TU4d_003,Hunter,,Common,,2,<b>英雄能力</b>造成1點傷害,,,
Missions,珍娜·普勞德摩爾,27,Hero,TU4a_006,Mage,,Common,,,,,,
Missions,瘋狂的猴子,2,Minion,TU4f_007,,,Common,1,1,<b>戰吼:</b>丟香蕉,,Battlecry,
Missions,穆克拉,26,Hero,TU4c_001,,,Common,,,,,,
Missions,穆克拉的力量,,Enchantment,TU4c_008e,,,,,,穆克拉本回合+8攻擊力,,OneTurnEffect,
Missions,穆克拉的大哥,10,Minion,TU4c_007,,,Common,10,6,好強!而且只消耗6點法力?!,,,
Missions,穆克拉的意志,,Spell,TU4c_008,,,Common,,3,恢復8點生命值,,,
Missions,米歐浩斯·曼納斯頓,20,Hero,TU4b_001,Mage,,Common,,,,,,
Missions,納迦部屬,1,Minion,TU4e_003,,,Common,1,1,<b></b>,,,
Missions,豺狼人,1,Minion,TU4a_003,,,Common,1,1,,,,
Missions,赫米特·奈辛瓦里,20,Hero,TU4d_001,Hunter,,Common,,,,,,
Missions,超凡入聖,,Enchantment,TU4f_006o,,,,,,除非你先殺死阿洲的手下，你無法攻擊他,,,
Missions,超凡入聖,,Spell,TU4f_006,,,Common,,1,在你殺死阿洲的手下之前，你無法攻擊他,,,
Missions,踐踏,,Spell,TU4c_004,,,Common,,2,對全部敵人造成2點傷害,Neutral,,
Missions,釀酒大師,4,Minion,TU4f_005,,,Common,4,4,,,,
Missions,隱藏的地精,3,Minion,TU4c_005,,,Common,1,2,原本躲在桶子裡!,Neutral,,
Missions,雙戰刃,,Weapon,TU4e_007,,2,Common,4,6,,,,
Missions,霍格,10,Hero,TU4a_001,,,Common,,,,,,
Missions,霍格打打!,,Spell,TU4a_004,,,Common,,3,造成4點傷害,,,
Missions,香蕉,,Spell,TU4c_006,,,Common,,1,賦予一個友方手下+1/+1。<i>(+1攻擊力/+1生命值)</i>,Neutral,,
Missions,香蕉,,Enchantment,TU4c_006e,,,,,,這個手下獲得+1/+1。<i>(+1攻擊力/+1生命值)</i>,,,
